Region,State,County Names,Year,Year_Month,count
Midwest,Illinois,412,2021,2021-12,1
Midwest,Illinois,Aurora Township,2018,2018-06,1
Midwest,Illinois,Aurora Township,2019,2019-02,1
Midwest,Illinois,Bloom Township,2018,2018-05,1
Midwest,Illinois,Bloom Township,2023,2023-07,1
Midwest,Illinois,Bremen Township,2020,2020-06,1
Midwest,Illinois,Bremen Township,2024,2024-01,1
Midwest,Illinois,Bremen Township,2024,2024-04,1
Midwest,Illinois,Calumet Township,2021,2021-09,1
Midwest,Illinois,Cass County,2023,2023-12,1
Midwest,Illinois,Champaign County,2018,2018-03,1
Midwest,Illinois,Champaign County,2020,2020-08,1
Midwest,Illinois,Champaign County,2021,2021-07,2
Midwest,Illinois,Champaign County,2021,2021-08,1
Midwest,Illinois,Champaign County,2023,2023-06,1
Midwest,Illinois,Champaign County,2024,2024-07,1
Midwest,Illinois,Chicago,2022,2022-11,1
Midwest,Illinois,Cook County,2018,2018-01,1
Midwest,Illinois,Cook County,2018,2018-05,1
Midwest,Illinois,Cook County,2018,2018-06,7
Midwest,Illinois,Cook County,2018,2018-07,5
Midwest,Illinois,Cook County,2018,2018-08,8
Midwest,Illinois,Cook County,2018,2018-09,2
Midwest,Illinois,Cook County,2018,2018-10,3
Midwest,Illinois,Cook County,2019,2019-01,1
Midwest,Illinois,Cook County,2019,2019-02,1
Midwest,Illinois,Cook County,2019,2019-03,2
Midwest,Illinois,Cook County,2019,2019-04,1
Midwest,Illinois,Cook County,2019,2019-05,1
Midwest,Illinois,Cook County,2019,2019-06,6
Midwest,Illinois,Cook County,2019,2019-07,10
Midwest,Illinois,Cook County,2019,2019-08,6
Midwest,Illinois,Cook County,2019,2019-09,4
Midwest,Illinois,Cook County,2019,2019-10,1
Midwest,Illinois,Cook County,2019,2019-12,1
Midwest,Illinois,Cook County,2020,2020-01,1
Midwest,Illinois,Cook County,2020,2020-02,2
Midwest,Illinois,Cook County,2020,2020-03,1
Midwest,Illinois,Cook County,2020,2020-04,1
Midwest,Illinois,Cook County,2020,2020-05,3
Midwest,Illinois,Cook County,2020,2020-06,11
Midwest,Illinois,Cook County,2020,2020-07,13
Midwest,Illinois,Cook County,2020,2020-08,5
Midwest,Illinois,Cook County,2020,2020-09,7
Midwest,Illinois,Cook County,2020,2020-10,3
Midwest,Illinois,Cook County,2020,2020-11,4
Midwest,Illinois,Cook County,2020,2020-12,2
Midwest,Illinois,Cook County,2021,2021-03,5
Midwest,Illinois,Cook County,2021,2021-04,2
Midwest,Illinois,Cook County,2021,2021-05,6
Midwest,Illinois,Cook County,2021,2021-06,12
Midwest,Illinois,Cook County,2021,2021-07,13
Midwest,Illinois,Cook County,2021,2021-08,10
Midwest,Illinois,Cook County,2021,2021-09,8
Midwest,Illinois,Cook County,2021,2021-10,3
Midwest,Illinois,Cook County,2021,2021-11,2
Midwest,Illinois,Cook County,2022,2022-01,1
Midwest,Illinois,Cook County,2022,2022-03,3
Midwest,Illinois,Cook County,2022,2022-04,2
Midwest,Illinois,Cook County,2022,2022-05,6
