id,Incident Date,State,Population,City Or County,County name,Longitude,url,FIPS,Official Name County,zipcode,Latitude,County Names,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
1582816,2019-12-29T00:00:00Z,Illinois,12549689,Danville,"[{""place_id"":322938502,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":126230,""lat"":""40.125222"",""lon"":""-87.6304614"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.5414557164863039,""addresstype"":""town"",""name"":""Danville"",""display_name"":""Danville, Vermilion County, Illinois, United States"",""boundingbox"":[""40.1034964"",""40.2044976"",""-87.6652246"",""-87.5316960""]}]",-87.6304614,"https://api.opencagedata.com/geocode/v1/json?q=40.125222,-87.6304614&key=cc0b782574474187b09e86aaed6bd5af",17183,Vermilion,61832,40.125222,Vermilion County,1803 block of Westview Ave,0,5,0,0,0
1582197,2019-12-29T00:00:00Z,New York,19571216,Buffalo,"[{""place_id"":306585084,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":175031,""lat"":""42.8867166"",""lon"":""-78.8783922"",""class"":""boundary"",""type"":""administrative"",""place_rank"":14,""importance"":0.6703810731120278,""addresstype"":""city"",""name"":""Buffalo"",""display_name"":""Buffalo, Erie County, New York, United States"",""boundingbox"":[""42.8260060"",""42.9664490"",""-78.9223535"",""-78.7951210""]}]",-78.8783922,"https://api.opencagedata.com/geocode/v1/json?q=42.8867166,-78.8783922&key=cc0b782574474187b09e86aaed6bd5af",36029,Erie,14202,42.8867166,Erie County,50 block of Henrietta Ave,1,3,0,0,0
1583444,2019-12-29T00:00:00Z,California,38965193,Ceres,"[{""place_id"":281969376,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":111725,""lat"":""37.5949316"",""lon"":""-120.9577098"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.4178628547155853,""addresstype"":""city"",""name"":""Ceres"",""display_name"":""Ceres, Stanislaus County, California, United States"",""boundingbox"":[""37.5715826"",""37.6213150"",""-121.0119000"",""-120.9204580""]}]",-120.9577098,"https://api.opencagedata.com/geocode/v1/json?q=37.5949316,-120.9577098&key=cc0b782574474187b09e86aaed6bd5af",06099,Stanislaus,95307,37.5949316,Stanislaus County,800 block of Allacante Dr,0,5,0,0,0
1581590,2019-12-27T00:00:00Z,California,38965193,Modesto,"[{""place_id"":280120525,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":111729,""lat"":""37.6393419"",""lon"":""-120.9968892"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.5313892163217817,""addresstype"":""city"",""name"":""Modesto"",""display_name"":""Modesto, Stanislaus County, California, United States"",""boundingbox"":[""37.5219330"",""37.7114430"",""-121.0964730"",""-120.9012390""]}]",-120.9968892,"https://api.opencagedata.com/geocode/v1/json?q=37.6393419,-120.9968892&key=cc0b782574474187b09e86aaed6bd5af",06099,Stanislaus,95354,37.6393419,Stanislaus County,1900 block of Vernon Ave,1,3,0,0,0
1581103,2019-12-27T00:00:00Z,Texas,30503301,Houston,"[{""place_id"":265084567,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":2688911,""lat"":""29.7589382"",""lon"":""-95.3676974"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.7273179768405511,""addresstype"":""city"",""name"":""Houston"",""display_name"":""Houston, Harris County, Texas, United States"",""boundingbox"":[""29.5370705"",""30.1103506"",""-95.9097419"",""-95.0120525""]},{""place_id"":262266268,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":1840945,""lat"":""31.3378465"",""lon"":""-95.390805"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.5546376901336713,""addresstype"":""county"",""name"":""Houston County"",""display_name"":""Houston County, Texas, United States"",""boundingbox"":[""30.9260843"",""31.5928051"",""-95.7758904"",""-94.9580014""]},{""place_id"":294728380,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":140698,""lat"":""37.3261588"",""lon"":""-91.955988"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.4265375900756264,""addresstype"":""city"",""name"":""Houston"",""display_name"":""Houston, Texas County, Missouri, 65483, United States"",""boundingbox"":[""37.2945110"",""37.3437600"",""-91.9794380"",""-91.9309400""]}]",-95.3676974,"https://api.opencagedata.com/geocode/v1/json?q=29.7589382,-95.3676974&key=cc0b782574474187b09e86aaed6bd5af",48201,Harris,77002,29.7589382,Harris County,500 block of Smart St,2,7,0,0,4
1581476,2019-12-27T00:00:00Z,Georgia,11029227,Kennesaw,"[{""place_id"":298842152,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":119639,""lat"":""34.0234337"",""lon"":""-84.6154897"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.497275472195732,""addresstype"":""town"",""name"":""Kennesaw"",""display_name"":""Kennesaw, Cobb County, Georgia, United States"",""boundingbox"":[""33.9869560"",""34.0669020"",""-84.6500210"",""-84.5809150""]}]",-84.6154897,"https://api.opencagedata.com/geocode/v1/json?q=34.0234337,-84.6154897&key=cc0b782574474187b09e86aaed6bd5af",13067,Cobb,30144,34.0234337,Cobb County,1575 Ridenour Pkwy NW,0,4,0,0,0
1580308,2019-12-26T00:00:00Z,Florida,22610726,Saint Petersburg,"[{""place_id"":263768503,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":118894,""lat"":""27.7700475"",""lon"":""-82.6359078"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.6127525306393085,""addresstype"":""city"",""name"":""Saint Petersburg"",""display_name"":""Saint Petersburg, Pinellas County, Florida, United States"",""boundingbox"":[""27.6436380"",""27.9139010"",""-82.7690230"",""-82.5406180""]}]",-82.6359078,"https://api.opencagedata.com/geocode/v1/json?q=27.7700475,-82.6359078&key=cc0b782574474187b09e86aaed6bd5af",12103,Pinellas,33701,27.7700475,Pinellas County,4300 6th St S,0,5,0,0,0
1579889,2019-12-25T00:00:00Z,California,38965193,Oakland,"[{""place_id"":282446648,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":2833530,""lat"":""37.8044557"",""lon"":""-122.271356"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.6778224079271288,""addresstype"":""city"",""name"":""Oakland"",""display_name"":""Oakland, Alameda County, California, United States"",""boundingbox"":[""37.6336763"",""37.8854257"",""-122.3558810"",""-122.1144203""]}]",-122.271356,"https://api.opencagedata.com/geocode/v1/json?q=37.8044557,-122.271356&key=cc0b782574474187b09e86aaed6bd5af",06001,Alameda,94616,37.8044557,Alameda County,2100 block of 34th Ave,0,4,0,0,0
1579970,2019-12-25T00:00:00Z,Iowa,3207004,Coralville,"[{""place_id"":325325124,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":128317,""lat"":""41.6759977"",""lon"":""-91.580705"",""class"":""boundary"",""type"":""administrative"",""place_rank"":16,""importance"":0.43478265868313465,""addresstype"":""town"",""name"":""Coralville"",""display_name"":""Coralville, Johnson County, Iowa, 52241, United States"",""boundingbox"":[""41.6662824"",""41.7335783"",""-91.6469579"",""-91.5490837""]}]",-91.580705,"https://api.opencagedata.com/geocode/v1/json?q=41.6759977,-91.580705&key=cc0b782574474187b09e86aaed6bd5af",19103,Johnson,52241,41.6759977,Johnson County,954 Boston Way,1,3,0,0,2
1579856,2019-12-25T00:00:00Z,Virginia,8715698,Richmond,"[{""place_id"":299162968,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":3864712,""lat"":""37.5385087"",""lon"":""-77.43428"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.6679301242919569,""addresstype"":""city"",""name"":""Richmond"",""display_name"":""Richmond, Virginia, United States"",""boundingbox"":[""37.4467305"",""37.6028099"",""-77.6011728"",""-77.3853030""]},{""place_id"":299227087,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":2534202,""lat"":""37.9476108"",""lon"":""-76.7161921"",""class"":""boundary"",""type"":""administrative"",""place_rank"":12,""importance"":0.5020833691768992,""addresstype"":""county"",""name"":""Richmond County"",""display_name"":""Richmond County, Virginia, United States"",""boundingbox"":[""37.7783860"",""38.1244440"",""-76.9379891"",""-76.5078110""]}]",-77.43428,"https://api.opencagedata.com/geocode/v1/json?q=37.5385087,-77.43428&key=cc0b782574474187b09e86aaed6bd5af",51760,Richmond,23219,37.5385087,"Richmond County, Virginia",1800 E Main St,1,3,0,0,0
